abilities.0	abilities.1	abilities.2	abilities.3	abilities.4	abilities.5	description	evolution.0	evolution.1	evolution.2	evolution.3	gen	height	id	name	species	stats.attack	stats.defense	stats.hp	stats.sp.atk	stats.sp.def	stats.speed	stats.total	type.0	type.1	weight
Poison Point	Rivalry	Sheer Force				Its entire body is armored with hard scales. It will protect the young in its burrow with its life.	NidoranÃ¢â„¢â‚¬	Nidorina	Nidoqueen		1	1.30m	031	Nidoqueen	Drill Pokemon	92	87	90	75	85	76	505	Poison	Ground	60.0 kg
Poison Point	Rivalry	Hustle				It scans its surroundings by raising its ears out of the grass. Its toxic horn is for protection.	NidoranÃ¢â„¢â€š	Nidorino	Nidoking		1	0.51m	032	NidoranÃ¢â„¢â€š	Poison Pin Pokemon	57	40	46	40	40	50	273	Poison		9.0 kg
Poison Point	Rivalry	Hustle				It has a violent disposition and stabs foes with its horn, which oozes poison upon impact.	NidoranÃ¢â„¢â€š	Nidorino	Nidoking		1	0.89m	033	Nidorino	Poison Pin Pokemon	72	57	61	55	55	65	365	Poison		19.5 kg
Poison Point	Rivalry	Sheer Force				One swing of its mighty tail can snap a telephone pole as if it were a matchstick.	NidoranÃ¢â„¢â€š	Nidorino	Nidoking		1	1.40m	034	Nidoking	Drill Pokemon	102	77	81	85	75	85	505	Poison	Ground	62.0 kg
Cute Charm	Magic Guard	Friend Guard				On nights with a full moon, Clefairy gather from all over and dance. Bathing in moonlight makes them float.	Cleffa	Clefairy	Clefable		1	0.61m	035	Clefairy	Fairy Pokemon	45	48	70	60	65	35	323	Fairy		7.5 kg
Cute Charm	Magic Guard	Unaware				Their ears are sensitive enough to hear a pin drop from over a mile away, so theyre usually found in quiet places.	Cleffa	Clefairy	Clefable		1	1.30m	036	Clefable	Fairy Pokemon	70	73	95	95	90	60	483	Fairy		40.0 kg
Flash Fire	Drought					As each tail grows, its fur becomes more lustrous. When held, it feels slightly warm.	Vulpix	Ninetales			1	0.61m	037	Vulpix	Fox Pokemon	41	40	38	50	65	65	299	Fire		9.9 kg
Flash Fire	Drought					Each of its nine tails is imbued with supernatural power, and it can live for a thousand years.	Vulpix	Ninetales			1	1.09m	038	Ninetales	Fox Pokemon	76	75	73	81	100	100	505	Fire		19.9 kg
Competitive	Cute Charm	Friend Guard				Looking into its cute, round eyes makes it start singing a song so pleasant listeners cant help but fall asleep.	Jigglypuff	Wigglytuff			1	0.51m	039	Jigglypuff	Balloon Pokemon	45	20	115	45	25	20	270	Normal	Fairy	5.5 kg
Competitive	Cute Charm	Frisk				Its fine fur feels so pleasant, those who accidentally touch it cannot take their hands away.	Jigglypuff	Wigglytuff			1	0.99m	040	Wigglytuff	Balloon Pokemon	70	45	140	85	50	45	435	Normal	Fairy	12.0 kg
Inner Focus	Infiltrator					It does not need eyes, because it emits ultrasonic waves to check its surroundings while it flies.	Zubat	Golbat	Crobat		1	0.79m	041	Zubat	Bat Pokemon	45	35	40	30	40	55	245	Poison	Flying	7.5 kg
Inner Focus	Infiltrator					Flitting around in the dead of night, it sinks its fangs into its prey and drains a nearly fatal amount of blood.	Zubat	Golbat	Crobat		1	1.60m	042	Golbat	Bat Pokemon	80	70	75	65	75	90	455	Poison	Flying	55.0 kg
Chlorophyll	Run Away					It often plants its root feet in the ground during the day and sows seeds as it walks about at night.	Oddish	Gloom	Vileplume		1	0.51m	043	Oddish	Weed Pokemon	50	55	45	75	65	30	320	Grass	Poison	5.4 kg
Chlorophyll	Stench					The honey it drools from its mouth smells so atrocious, it can curl noses more than a mile away.	Oddish	Gloom	Vileplume		1	0.79m	044	Gloom	Weed Pokemon	65	70	60	85	75	40	395	Grass	Poison	8.6 kg
Chlorophyll	Effect Spore					Its petals are the largest in the world. As it walks, it scatters extremely allergenic pollen.	Oddish	Gloom	Vileplume		1	1.19m	045	Vileplume	Flower Pokemon	80	85	75	110	90	50	490	Grass	Poison	18.6 kg
Dry Skin	Effect Spore	Damp				Mushrooms named tochukaso grow on its back. They grow along with the host Paras.	Paras	Parasect			1	0.30m	046	Paras	Mushroom Pokemon	70	55	35	45	55	25	285	Bug	Grass	5.4 kg
Dry Skin	Effect Spore	Damp				A mushroom grown larger than the hosts body controls Parasect. It scatters poisonous spores.	Paras	Parasect			1	0.99m	047	Parasect	Mushroom Pokemon	95	80	60	60	80	30	405	Bug	Grass	29.5 kg
Compound Eyes	Tinted Lens	Run Away				Its big eyes are actually clusters of tiny eyes. At night, its kind is drawn by light.	Venonat	Venomoth			1	0.99m	048	Venonat	Insect Pokemon	55	50	60	40	55	45	305	Bug	Poison	30.0 kg
Shield Dust	Tinted Lens	Wonder Skin				It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.	Venonat	Venomoth			1	1.50m	049	Venomoth	Poison Moth Pokemon	65	60	70	90	75	90	450	Bug	Poison	12.5 kg
Arena Trap	Sand Veil	Sand Force				A Pokemon that lives underground. Because of its dark habitat, it is repelled by bright sunlight.	Diglett	Dugtrio			1	0.20m	050	Diglett	Mole Pokemon	55	25	10	35	45	95	265	Ground		0.8 kg
Arena Trap	Sand Veil	Sand Force				Its three heads move alternately, driving it through tough soil to depths of over 60 miles.	Diglett	Dugtrio			1	0.71m	051	Dugtrio	Mole Pokemon	80	50	35	50	70	120	405	Ground		33.3 kg
Pickup	Technician	Unnerve				It is nocturnal in nature. If it spots something shiny, its eyes glitter brightly.	Meowth	Persian			1	0.41m	052	Meowth	Scratch Cat Pokemon	45	35	40	40	40	90	290	Normal		4.2 kg
Limber	Technician	Unnerve				A very haughty Pokemon. Among fans, the size of the jewel in its forehead is a topic of much talk.	Meowth	Persian			1	0.99m	053	Persian	Classy Cat Pokemon	70	60	65	65	65	115	440	Normal		32.0 kg
Cloud Nine	Damp	Swift Swim				When headaches stimulate its brain cells, which are usually inactive, it can use a mysterious power.	Psyduck	Golduck			1	0.79m	054	Psyduck	Duck Pokemon	52	48	50	65	50	55	320	Water		19.6 kg
Cloud Nine	Damp	Swift Swim				When its forehead shines mysteriously, Golduck can use the full extent of its power.	Psyduck	Golduck			1	1.70m	055	Golduck	Duck Pokemon	82	78	80	95	80	85	500	Water		76.6 kg
Anger Point	Vital Spirit	Defiant				It lives in treetop colonies. If one becomes enraged, the whole colony rampages for no reason.	Mankey	Primeape			1	0.51m	056	Mankey	Pig Monkey Pokemon	80	35	40	35	45	70	305	Fighting		28.0 kg
Anger Point	Vital Spirit	Defiant				It grows angry if you see its eyes and gets angrier if you run. If you beat it, it gets even madder.	Mankey	Primeape			1	0.99m	057	Primeape	Pig Monkey Pokemon	105	60	65	60	70	95	455	Fighting		32.0 kg
Flash Fire	Intimidate	Justified				Extremely loyal to its Trainer, it will bark at those who approach the Trainer unexpectedly and run them out of town.	Growlithe	Arcanine			1	0.71m	058	Growlithe	Puppy Pokemon	70	45	55	70	50	60	350	Fire		19.0 kg
Flash Fire	Intimidate	Justified				The sight of it running over 6,200 miles in a single day and night has captivated many people.	Growlithe	Arcanine			1	1.91m	059	Arcanine	Legendary Pokemon	110	80	90	100	80	95	555	Fire		155.0 kg
Damp	Water Absorb	Swift Swim				Its skin is so thin, its internal organs are visible. It has trouble walking on its newly grown feet.	Poliwag	Poliwhirl	Poliwrath		1	0.61m	060	Poliwag	Tadpole Pokemon	50	40	40	40	40	90	300	Water		12.4 kg
Damp	Water Absorb	Swift Swim				The spiral pattern on its belly subtly undulates. Staring at it gradually causes drowsiness.	Poliwag	Poliwhirl	Poliwrath		1	0.99m	061	Poliwhirl	Tadpole Pokemon	65	65	65	50	50	90	385	Water		20.0 kg
Damp	Water Absorb	Swift Swim				With its extremely tough muscles, it can keep swimming in the Pacific Ocean without resting.	Poliwag	Poliwhirl	Poliwrath		1	1.30m	062	Poliwrath	Tadpole Pokemon	95	95	90	70	90	70	510	Water	Fighting	54.0 kg
Inner Focus	Synchronize	Magic Guard				Using its psychic power is such a strain on its brain that it needs to sleep for 18 hours a day.	Abra	Kadabra	Alakazam		1	0.89m	063	Abra	Psi Pokemon	20	15	25	105	55	90	310	Psychic		19.5 kg
Inner Focus	Synchronize	Magic Guard				It stares at its silver spoon to focus its mind. It emits more alpha waves while doing so.	Abra	Kadabra	Alakazam		1	1.30m	064	Kadabra	Psi Pokemon	35	30	40	120	70	105	400	Psychic		56.5 kg
Inner Focus	Synchronize	Magic Guard				The spoons clutched in its hands are said to have been created by its psychic powers.	Abra	Kadabra	Alakazam		1	1.50m	065	Alakazam	Psi Pokemon	50	45	55	135	95	120	500	Psychic		48.0 kg
Guts	No Guard	Steadfast				Though small in stature, it is powerful enough to easily heft and throw a number of Geodude at once.	Machop	Machoke	Machamp		1	0.79m	066	Machop	Superpower Pokemon	80	50	70	35	35	35	305	Fighting		19.5 kg
Guts	No Guard	Steadfast				It happily carries heavy cargo to toughen up. It willingly does hard work for people.	Machop	Machoke	Machamp		1	1.50m	067	Machoke	Superpower Pokemon	100	70	80	50	60	45	405	Fighting		70.5 kg
Guts	No Guard	Steadfast				Its four muscled arms slam foes with powerful punches and chops at blinding speed.	Machop	Machoke	Machamp		1	1.60m	068	Machamp	Superpower Pokemon	130	80	90	65	85	55	505	Fighting		130.0 kg
Chlorophyll	Gluttony					It prefers hot and humid environments. It is quick at capturing prey with its vines.	Bellsprout	Weepinbell	Victreebel		1	0.71m	069	Bellsprout	Flower Pokemon	75	35	50	70	30	40	300	Grass	Poison	4.0 kg
Chlorophyll	Gluttony					A Pokemon that appears to be a plant. It captures unwary prey by dousing them with a toxic powder.	Bellsprout	Weepinbell	Victreebel		1	0.99m	070	Weepinbell	Flycatcher Pokemon	90	50	65	85	45	55	390	Grass	Poison	6.4 kg
Chlorophyll	Gluttony					It pools in its mouth a fluid with a honey-like scent, which is really an acid that dissolves anything.	Bellsprout	Weepinbell	Victreebel		1	1.70m	071	Victreebel	Flycatcher Pokemon	105	65	80	100	70	70	490	Grass	Poison	15.5 kg
Clear Body	Liquid Ooze	Rain Dish				Because its body is almost entirely composed of water, it shrivels up if it is washed ashore.	Tentacool	Tentacruel			1	0.89m	072	Tentacool	Jellyfish Pokemon	40	35	40	50	100	70	335	Water	Poison	45.5 kg
Clear Body	Liquid Ooze	Rain Dish				It extends its 80 tentacles to form an encircling poisonous net that is difficult to escape.	Tentacool	Tentacruel			1	1.60m	073	Tentacruel	Jellyfish Pokemon	70	65	80	80	120	100	515	Water	Poison	55.0 kg
Rock Head	Sturdy	Sand Veil				At rest, it looks just like a rock. Carelessly stepping on it will make it swing its fists angrily.	Geodude	Graveler	Golem		1	0.41m	074	Geodude	Rock Pokemon	80	100	40	30	30	20	300	Rock	Ground	20.0 kg
Rock Head	Sturdy	Sand Veil				It rolls on mountain paths to move. Once it builds momentum, no Pokemon can stop it without difficulty.	Geodude	Graveler	Golem		1	0.99m	075	Graveler	Rock Pokemon	95	115	55	45	45	35	390	Rock	Ground	105.0 kg
Rock Head	Sturdy	Sand Veil				Even dynamite cant harm its hard, boulder-like body. It sheds its hide just once a year.	Geodude	Graveler	Golem		1	1.40m	076	Golem	Megaton Pokemon	120	130	80	55	65	45	495	Rock	Ground	300.0 kg
Flash Fire	Run Away	Flame Body				As a newborn, it can barely stand. However, through galloping, its legs are made tougher and faster.	Ponyta	Rapidash			1	0.99m	077	Ponyta	Fire Horse Pokemon	85	55	50	65	65	90	410	Fire		30.0 kg
Flash Fire	Run Away	Flame Body				When at an all-out gallop, its blazing mane sparkles, enhancing its beautiful appearance.	Ponyta	Rapidash			1	1.70m	078	Rapidash	Fire Horse Pokemon	100	70	65	80	80	105	500	Fire		95.0 kg
Oblivious	Own Tempo	Regenerator				Although slow, it is skilled at fishing with its tail. It does not feel pain if its tail is bitten.	Slowpoke	Slowbro			1	1.19m	079	Slowpoke	Dopey Pokemon	65	65	90	40	40	15	315	Water	Psychic	36.0 kg
Oblivious	Own Tempo	Regenerator				Though usually dim witted, it seems to become inspired if the Shellder on its tail bites down.	Slowpoke	Slowbro			1	1.60m	080	Slowbro	Hermit Crab Pokemon	75	110	95	100	80	30	490	Water	Psychic	78.5 kg
Magnet Pull	Sturdy	Analytic				The electromagnetic waves emitted by the units at the sides of its head expel antigravity, which allows it to float.	Magnemite	Magneton			1	0.30m	081	Magnemite	Magnet Pokemon	35	70	25	95	55	45	325	Electric	Steel	6.0 kg
Magnet Pull	Sturdy	Analytic				The stronger electromagnetic waves from the three linked Magnemite are enough to dry out surrounding moisture.	Magnemite	Magneton			1	0.99m	082	Magneton	Magnet Pokemon	60	95	50	120	70	70	465	Electric	Steel	60.0 kg
Inner Focus	Keen Eye	Defiant				It cant live without the stalk it holds. Thats why it defends the stalk from attackers with its life.					1	0.79m	083	Farfetch'd	Wild Duck Pokemon	65	55	52	58	62	60	352	Normal	Flying	15.0 kg
Early Bird	Run Away	Tangled Feet				The brains in its two heads appear to communicate emotions to each other with a telepathic power.	Doduo	Dodrio			1	1.40m	084	Doduo	Twin Bird Pokemon	85	45	35	35	35	75	310	Normal	Flying	39.2 kg
Early Bird	Run Away	Tangled Feet				When Doduo evolves into this odd breed, one of its heads splits into two. It runs at nearly 40 mph.	Doduo	Dodrio			1	1.80m	085	Dodrio	Triple Bird Pokemon	110	70	60	60	60	100	460	Normal	Flying	85.2 kg
Hydration	Thick Fat	Ice Body				The colder it gets, the better it feels. It joyfully swims around oceans so cold that they are filled with floating ice.	Seel	Dewgong			1	1.09m	086	Seel	Sea Lion Pokemon	45	55	65	45	70	45	325	Water		90.0 kg
Hydration	Thick Fat	Ice Body				Its streamlined body has low resistance, and it swims around cold oceans at a speed of eight knots.	Seel	Dewgong			1	1.70m	087	Dewgong	Sea Lion Pokemon	70	80	90	70	95	70	475	Water	Ice	120.0 kg
Stench	Sticky Hold	Poison Touch				Born from sludge, these Pokemon now gather in polluted places and increase the bacteria in their bodies.	Grimer	Muk			1	0.89m	088	Grimer	Sludge Pokemon	80	50	80	40	50	25	325	Poison		30.0 kg
Stench	Sticky Hold	Poison Touch				Its so stinky! Muks body contains toxic elements, and any plant will wilt when it passes by.	Grimer	Muk			1	1.19m	089	Muk	Sludge Pokemon	105	75	105	65	100	50	500	Poison		30.0 kg
Shell Armor	Skill Link	Overcoat				It swims backward by opening and closing its two shells. Its large tongue is always kept hanging out.	Shellder	Cloyster			1	0.30m	090	Shellder	Bivalve Pokemon	65	100	30	45	25	40	305	Water		4.0 kg
Shell Armor	Skill Link	Overcoat				It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.	Shellder	Cloyster			1	1.50m	091	Cloyster	Bivalve Pokemon	95	180	50	85	45	70	525	Water	Ice	132.5 kg
Levitate						Born from gases, anyone would faint if engulfed by its gaseous body, which contains poison.	Gastly	Haunter	Gengar		1	1.30m	092	Gastly	Gas Pokemon	35	30	30	100	35	80	310	Ghost	Poison	0.1 kg
Levitate						It likes to lurk in the dark and tap shoulders with a gaseous hand. Its touch causes endless shuddering.	Gastly	Haunter	Gengar		1	1.60m	093	Haunter	Gas Pokemon	50	45	45	115	55	95	405	Ghost	Poison	0.1 kg
Levitate						The leer that floats in darkness belongs to a Gengar delighting in casting curses on people.	Gastly	Haunter	Gengar		1	1.50m	094	Gengar	Shadow Pokemon	65	60	60	130	75	110	500	Ghost	Poison	40.5 kg
Rock Head	Sturdy	Weak Armor				Opening its large mouth, it ingests massive amounts of soil and creates long tunnels.	Onix				1	8.79m	095	Onix	Rock Snake Pokemon	45	160	35	30	45	70	385	Rock	Ground	210.0 kg
Forewarn	Insomnia	Inner Focus				It can tell what people are dreaming by sniffing with its big nose. It loves fun dreams.	Drowzee	Hypno			1	0.99m	096	Drowzee	Hypnosis Pokemon	48	45	60	43	90	42	328	Psychic		32.4 kg
Forewarn	Insomnia	Inner Focus				Seeing its swinging pendulum can induce sleep in three seconds, even in someone who just woke up.	Drowzee	Hypno			1	1.60m	097	Hypno	Hypnosis Pokemon	73	70	85	73	115	67	483	Psychic		75.6 kg
Hyper Cutter	Shell Armor	Sheer Force				It lives in burrows dug on sandy beaches. Its pincers fully grow back if they are broken in battle.	Krabby	Kingler			1	0.41m	098	Krabby	River Crab Pokemon	105	90	30	25	25	50	325	Water		6.5 kg
Hyper Cutter	Shell Armor	Sheer Force				The larger pincer has 10,000- horsepower strength. However, it is so heavy, it is difficult to aim.	Krabby	Kingler			1	1.30m	099	Kingler	Pincer Pokemon	130	115	55	50	50	75	475	Water		60.0 kg
Soundproof	Static	Aftermath				It looks just like a Pok Ball. It is dangerous because it may electrocute or explode on contact.	Voltorb	Electrode			1	0.51m	100	Voltorb	Ball Pokemon	30	50	40	55	55	100	330	Electric		10.4 kg
Soundproof	Static	Aftermath				It is known to drift on winds if it is bloated to bursting with stored electricity.	Voltorb	Electrode			1	1.19m	101	Electrode	Ball Pokemon	50	70	60	80	80	140	480	Electric		66.6 kg
Chlorophyll	Harvest					Its six eggs converse using telepathy. They can quickly gather if they become separated.	Exeggcute	Exeggutor			1	0.41m	102	Exeggcute	Egg Pokemon	40	80	60	60	45	40	325	Grass	Psychic	2.5 kg
Chlorophyll	Harvest					It is called The Walking Jungle. If a head grows too big, it falls off and becomes an Exeggcute.	Exeggcute	Exeggutor			1	2.01m	103	Exeggutor	Coconut Pokemon	95	85	95	125	65	55	520	Grass	Psychic	120.0 kg
Lightning Rod	Rock Head	Battle Armor				When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly.	Cubone	Marowak			1	0.41m	104	Cubone	Lonely Pokemon	50	95	50	40	50	35	320	Ground		6.5 kg
Lightning Rod	Rock Head	Battle Armor				From its birth, this savage Pokemon constantly holds bones. It is skilled in using them as weapons.	Cubone	Marowak			1	0.99m	105	Marowak	Bone Keeper Pokemon	80	110	60	50	80	45	425	Ground		45.0 kg
Limber	Reckless	Unburden				Its legs can stretch double. First-time foes are startled by its extensible reach.	Hitmonlee	Hitmonchan			1	1.50m	106	Hitmonlee	Kicking Pokemon	120	53	50	35	110	87	455	Fighting		49.8 kg
Iron Fist	Keen Eye	Inner Focus				The arm-twisting punches it throws pulverize even concrete. It rests after three minutes of fighting.	Hitmonlee	Hitmonchan			1	1.40m	107	Hitmonchan	Punching Pokemon	105	79	50	35	110	76	455	Fighting		50.2 kg
Oblivious	Own Tempo	Cloud Nine				Being licked by its long, saliva-covered tongue leaves a tingling sensation. Extending its tongue retracts its tail.	Lickitung				1	1.19m	108	Lickitung	Licking Pokemon	55	75	90	60	75	30	385	Normal		65.5 kg
Levitate						Toxic gas is held within its thin, balloon-shaped body, so it can cause massive explosions.	Koffing	Weezing			1	0.61m	109	Koffing	Poison Gas Pokemon	65	95	40	60	45	35	340	Poison		1.0 kg
Levitate						Inhaling toxic fumes from trash and mixing them inside its body lets it spread an even fouler stench.	Koffing	Weezing			1	1.19m	110	Weezing	Poison Gas Pokemon	90	120	65	85	70	60	490	Poison		9.5 kg
Lightning Rod	Rock Head	Reckless				Its powerful tackles can destroy anything. However, it is too slow witted to help people work.	Rhyhorn	Rhydon			1	0.99m	111	Rhyhorn	Spikes Pokemon	85	95	80	30	30	25	345	Ground	Rock	115.0 kg
Lightning Rod	Rock Head	Reckless				Standing on its hind legs freed its forelegs and made it smarter. It is very forgetful, however.	Rhyhorn	Rhydon			1	1.91m	112	Rhydon	Drill Pokemon	130	120	105	45	45	40	485	Ground	Rock	120.0 kg
Natural Cure	Serene Grace	Healer				A kindly Pokemon that lays highly nutritious eggs and shares them with injured Pokmon or people.	Chansey				1	1.09m	113	Chansey	Egg Pokemon	5	5	250	35	105	50	450	Normal		34.6 kg
Chlorophyll	Leaf Guard	Regenerator				Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long.	Tangela				1	0.99m	114	Tangela	Vine Pokemon	55	115	65	100	40	60	435	Grass		35.0 kg
Early Bird	Scrappy	Inner Focus				It raises its offspring in its belly pouch. It lets the baby out to play only when it feels safe.					1	2.21m	115	Kangaskhan	Parent Pokemon	95	80	105	40	80	90	490	Normal		80.0 kg
Sniper	Swift Swim	Damp				It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees.	Horsea	Seadra			1	0.41m	116	Horsea	Dragon Pokemon	40	70	30	70	25	60	295	Water		8.0 kg
Poison Point	Sniper	Damp				Its spines provide protection. Its fins and bones are prized as traditional-medicine ingredients.	Horsea	Seadra			1	1.19m	117	Seadra	Dragon Pokemon	65	95	55	95	45	85	440	Water		25.0 kg
Swift Swim	Water Veil	Lightning Rod				Though it appears very elegant when swimming with fins unfurled, it can jab powerfully with its horn.	Goldeen	Seaking			1	0.61m	118	Goldeen	Goldfish Pokemon	67	60	45	35	50	63	320	Water		15.0 kg
